Country,average
Australia,82.62434
Austria,70.63227
Belgium,69.23773
China,25.73664
Denmark,77.04228
Finland,93.17938
Hong Kong,60.46672
Italy,65.53654
Japan,59.90947
Mexico,27.18259
New Zealand,81.47717
Norway,73.60971
Portugal,66.33342
South Korea,97.94073
Spain,81.68628
Sweden,70.61802
Switzerland,53.79132
United Kingdom,58.45991
United States,92.5566
